Timestamp: 2014-05-02 165153
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
18,-0.5375,8,-0.5312,-0.7100,4,-0.5244,-0.6733,10,-0.5229,21
15,-0.5019,14,-0.5759,-0.6485,3,-0.4528,-0.7047,10,-0.5142,20
19,-0.5481,9,-0.7778,-0.8447,3,-0.5833,-0.6469,6,-0.5371,35
14,-0.5188,14,-0.6161,-0.6200,11,-0.2828,-0.5583,16,-0.5495,24
41,-0.5262,18,-0.6389,-0.6838,4,-0.5092,-0.7151,16,-0.5479,24
15,-0.5006,9,-0.5972,-0.6853,3,-0.6151,-0.7007,5,-0.5557,38
21,-0.5106,10,-0.4375,-0.6628,3,-0.6894,-0.8379,10,-0.5460,30
41,-0.5238,10,-0.7812,-0.7812,4,-0.4844,-0.6864,9,-0.5379,32
41,-0.5188,8,-0.6172,-0.6618,4,-0.5301,-0.6732,12,-0.5242,24
14,-0.5437,10,-0.6562,-0.7601,11,-0.6335,-0.7220,13,-0.5684,40
38,-0.5594,9,-0.6597,-0.7194,3,-0.5439,-0.6372,10,-0.5365,29
18,-0.5250,13,-0.6346,-0.7167,4,-0.3196,-0.6055,16,-0.5511,30
34,-0.5331,11,-0.7045,-0.7439,2,-0.6945,-0.7826,9,-0.5294,30
6,-0.5281,9,-0.4931,-0.5962,3,-0.3867,-0.6577,15,-0.5292,26
9,-0.5369,10,-0.6062,-0.7311,7,-0.5755,-0.6643,12,-0.5691,36
31,-0.5244,19,-0.6086,-0.6788,4,-0.6965,-0.7322,5,-0.5383,37
9,-0.5356,17,-0.5809,-0.6429,7,-0.5775,-0.6780,13,-0.5431,25
8,-0.5450,13,-0.5529,-0.6420,7,-0.5372,-0.6493,13,-0.5594,37
41,-0.5463,7,-0.5714,-0.7116,4,-0.4740,-0.6595,15,-0.5528,25
18,-0.5475,9,-0.5694,-0.6555,4,-0.5675,-0.6262,10,-0.5343,26
47,-0.5369,7,-0.6875,-0.7234,6,-0.4733,-0.6283,7,-0.5417,31
14,-0.5188,13,-0.5625,-0.6179,11,-0.3065,-0.5262,18,-0.5300,20
41,-0.5262,10,-0.5938,-0.6485,4,-0.5935,-0.6812,9,-0.5272,27
31,-0.5394,22,-0.5341,-0.5941,4,-0.6466,-0.6466,9,-0.5654,35
8,-0.5550,8,-0.6641,-0.7422,7,-0.5841,-0.6300,7,-0.5618,39
8,-0.5475,9,-0.5486,-0.6613,7,-0.5434,-0.6064,6,-0.5571,41
15,-0.5094,10,-0.5312,-0.6545,3,-0.4374,-0.5595,16,-0.5483,25
13,-0.5631,12,-0.5781,-0.6720,4,-0.6977,-0.7216,15,-0.5170,30
1,-0.5262,14,-0.5268,-0.6340,4,-0.5495,-0.7055,11,-0.5267,25
21,-0.5394,7,-0.5804,-0.6891,3,-0.3481,-0.5511,15,-0.5355,24
14,-0.5487,15,-0.7292,-0.7292,11,-0.7955,-0.7979,4,-0.5797,43
1,-0.5363,22,-0.5170,-0.6036,4,-0.5825,-0.6776,9,-0.5387,23
26,-0.5062,14,-0.6473,-0.6721,6,-0.5414,-0.6690,11,-0.5273,23
Laws passed: 15
Total provisions: 34
Satisfaction with legislation: 0.6119
